investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV003436,2024-01-01,118634,Sip,1102,Maharashtra,Mumbai,T30,36-45,Female,54.4,Cheque,Pending
INV004691,2024-01-01,119094,Lumpsum,8682,Delhi,Noida,T30,26-35,Male,14.5,Net Banking,Pending
INV002893,2024-01-01,120843,Sip,8472,Telangana,Hyderabad,T30,56+,Male,69.4,UPI,Pending
INV002885,2024-01-01,148567,Lumpsum,430566,Delhi,Gurugram,T30,26-35,Male,23.4,Cheque,Pending
INV004648,2024-01-01,118634,Sip,17860,Maharashtra,Pune,T30,36-45,Male,54.3,Mandate,Pending
INV001156,2024-01-02,120843,Sip,28986,Madhya Pradesh,Indore,T30,56+,Female,58.8,Cheque,Pending
INV003821,2024-01-02,119092,Sip,7584,Delhi,Noida,T30,18-25,Female,6.4,UPI,Pending
INV002621,2024-01-02,148567,Sip,401,Uttar Pradesh,Agra,B30,26-35,Female,22.6,UPI,Pending
INV002888,2024-01-03,100025,Redemption,259110,Rajasthan,Udaipur,B30,26-35,Male,9.2,Net Banking,Pending
INV001769,2024-01-03,120506,Sip,889,Punjab,Chandigarh,T30,18-25,Male,7.4,Cheque,Pending
INV004581,2024-01-03,120505,Sip,2292,Gujarat,Surat,T30,26-35,Male,14.7,Cheque,Pending
INV004562,2024-01-03,149324,Sip,963,Telangana,Hyderabad,T30,26-35,Female,19.0,Cheque,Pending
INV004733,2024-01-03,102885,Sip,7080,Telangana,Hyderabad,T30,18-25,Male,5.4,Net Banking,Pending
INV004867,2024-01-03,120506,Sip,3082,Karnataka,Bangalore,T30,18-25,Male,7.3,UPI,Pending
INV003705,2024-01-04,120506,Sip,57004,Telangana,Hyderabad,T30,26-35,Male,8.0,UPI,Pending
INV003500,2024-01-04,120505,Sip,2007,Maharashtra,Mumbai,T30,26-35,Male,15.5,Mandate,Pending
INV003240,2024-01-04,101206,Sip,6686,Haryana,Gurugram,T30,26-35,Male,21.7,Net Banking,Pending
INV000663,2024-01-04,148568,Sip,558,Haryana,Gurugram,T30,26-35,Female,13.8,Mandate,Pending
INV004257,2024-01-05,119094,Redemption,301471,Telangana,Hyderabad,T30,36-45,Male,22.0,Mandate,Pending
INV001269,2024-01-05,100033,Lumpsum,432672,Maharashtra,Mumbai,T30,26-35,Male,14.4,UPI,Pending
INV000461,2024-01-05,125498,Sip,10676,Punjab,Chandigarh,T30,36-45,Male,26.9,Net Banking,Pending
INV002530,2024-01-05,119093,Sip,13177,Telangana,Hyderabad,T30,36-45,Male,53.9,Cheque,Pending
